Contract Number,Amount Vouchered,Amount Paid,Check/Item Date
49807,130.00,130.00,10/28/2013
49807,205.00,205.00,10/28/2013
49807,70.00,70.00,10/28/2013
49807,35.00,35.00,10/28/2013
49807,280.00,280.00,10/28/2013
49807,265.00,265.00,10/28/2013
49807,205.00,205.00,10/28/2013
49807,100.00,100.00,10/28/2013
49807,190.00,190.00,10/28/2013
49807,155.00,155.00,10/28/2013
49807,60.00,60.00,10/28/2013
49807,200.00,200.00,10/28/2013
49807,105.00,105.00,10/28/2013
49807,65.00,65.00,10/28/2013
49807,275.00,275.00,10/28/2013
49807,140.00,140.00,10/28/2013
49807,50.00,50.00,10/28/2013
49807,275.00,275.00,10/28/2013
49807,70.00,70.00,10/28/2013
49807,35.00,35.00,10/28/2013
49807,120.00,120.00,10/28/2013
49807,90.00,90.00,10/28/2013
49807,100.00,100.00,10/28/2013
49807,85.00,85.00,10/28/2013
49807,70.00,70.00,10/28/2013
49807,125.00,125.00,10/28/2013
49807,50.00,50.00,10/28/2013
49807,175.00,175.00,10/28/2013
49807,120.00,120.00,10/28/2013
49807,275.00,275.00,10/28/2013
49807,280.00,280.00,10/28/2013
49807,210.00,210.00,10/28/2013
49807,"1,590.00","1,590.00",10/28/2013
495007,"1,318.10","1,318.10",10/28/2013
50027,"1,944.07","1,944.07",10/29/2013
50027,"2,876.28","2,876.28",10/29/2013
49483,"36,876.80","36,876.80",10/29/2013
49483,"6,215.00","6,215.00",10/29/2013
49638,"4,861.19","4,861.19",10/29/2013
50027,"6,247.36","6,247.36",10/29/2013
48211,"50,000.00","50,000.00",10/29/2013
50153,"8,043.92","8,043.92",10/29/2013
49737,"5,172.78","5,172.78",10/29/2013
50027,461.84,461.84,10/29/2013
48831,"5,502.00","5,502.00",10/29/2013
49153,"26,409.89","26,409.89",10/29/2013
49153,"59,952.52","59,952.52",10/29/2013
49660,"3,366.71","3,366.71",10/30/2013
48768,322.83,322.83,10/30/2013
50090,"355,060.10","355,060.10",10/30/2013
49827,"458,769.26","458,769.26",10/31/2013
49246,"111,410.67","111,410.67",10/31/2013
49490,"4,914.00","4,914.00",10/31/2013
47749,"5,225.00","5,225.00",10/31/2013
47749,"1,175.00","1,175.00",10/31/2013
49408,"10,580.00","10,580.00",10/31/2013
50164,"13,471.41","13,471.41",10/31/2013
50195,"1,005,292.50","1,005,292.50",10/30/2013
49655,"25,000.00","25,000.00",10/31/2013
49336,"6,997.57","6,997.57",10/31/2013
48329,"1,897.15","1,897.15",11/1/2013
48329,474.29,474.29,10/31/2013
49700,"1,330.00","1,330.00",10/31/2013
49450,"87,110.90","87,110.90",10/31/2013
49192,"191,409.74","191,409.74",10/31/2013
49192,"113,448.08","113,448.08",10/31/2013
50146,"2,500.00","2,500.00",11/1/2013
50235,"3,808.45","3,808.45",11/1/2013
50235,"2,759.56","2,759.56",11/1/2013
42275,"115,441.67","115,441.67",10/31/2013
48473,"107,468.76","107,468.76",10/30/2013
42011,"6,073.62","6,073.62",11/1/2013
48492,"12,605.00","12,605.00",11/1/2013
50086,"4,200.00","4,200.00",11/1/2013
49483,521.70,521.70,11/4/2013
50092,"8,166.67","8,166.67",11/4/2013
50041,"15,986.88","15,986.88",11/5/2013
50198,"19,356.24","19,356.24",11/5/2013
50213,"11,603.35","11,603.35",11/5/2013
50213,"11,265.18","11,265.18",11/5/2013
50213,"8,911.87","8,911.87",11/5/2013
50304,"1,937,772.47","1,937,772.47",11/5/2013
50286,"4,779.24","4,779.24",11/5/2013
50287,"15,000.00","15,000.00",11/5/2013
49885,"23,756.53","23,756.53",11/5/2013
46464,"13,664.42","13,664.42",11/5/2013
46464,471.57,471.57,11/5/2013
49483,"59,039.80","59,039.80",11/5/2013
47794,"17,869.70","17,869.70",11/5/2013
49780,"2,000.00","2,000.00",11/7/2013
50207,"4,255.45","4,255.45",11/7/2013
50212,"6,104.53","6,104.53",11/7/2013
50212,"13,976.50","13,976.50",11/7/2013
50212,"12,554.72","12,554.72",11/7/2013
50212,"23,879.12","23,879.12",11/7/2013
50212,"11,670.06","11,670.06",11/7/2013
50212,"13,175.69","13,175.69",11/7/2013
50332,"47,559.00","47,559.00",11/6/2013
49463,"13,010.00","13,010.00",11/6/2013
42011,"2,185.09","2,185.09",11/6/2013
50152,"1,250,000.00","1,250,000.00",11/6/2013
50152,"600,000.00","600,000.00",11/6/2013
48492,"2,729.00","2,729.00",11/6/2013
49969,"1,533.00","1,533.00",11/6/2013
48880,"127,435.09","127,435.09",11/7/2013
46939,803.98,803.98,11/7/2013
46939,201.00,201.00,11/7/2013
48831,"3,737.77","3,737.77",11/7/2013
48831,"1,010.00","1,010.00",11/7/2013
49637,949.27,949.27,11/7/2013
49637,"1,490.97","1,490.97",11/7/2013
495040,"13,591.01","13,591.01",11/7/2013
495040,"13,524.62","13,524.62",11/7/2013
49638,116.97,116.97,11/7/2013
49638,752.40,752.40,11/7/2013
46939,"2,074.70","2,074.70",11/7/2013
48201,"11,929.29","11,929.29",11/7/2013
48201,627.86,627.86,11/7/2013
48201,294.22,294.22,11/7/2013
46939,518.67,518.67,11/7/2013
48683,478.06,478.06,11/7/2013
49228,"3,075.00","3,075.00",11/7/2013
49251,"1,100.00","1,100.00",11/7/2013
48972,"4,349.87","4,349.87",11/7/2013
49686,"6,280.27","6,280.27",11/7/2013
48201,"5,590.17","5,590.17",11/7/2013
43457,"19,265.74","19,265.74",11/8/2013
49709,"3,426.00","3,426.00",11/8/2013
495269,"1,774.94","1,774.94",11/8/2013
495269,"1,592.06","1,592.06",11/8/2013
49785,380.00,380.00,11/8/2013
48564,"36,224.00","36,224.00",11/8/2013
48564,"1,900.00","1,900.00",11/8/2013
48128,"7,396.62","7,396.62",11/12/2013
48831,"2,040.27","2,040.27",11/12/2013
48831,"3,212.50","3,212.50",11/12/2013
42011,"5,998.49","5,998.49",11/12/2013
42011,"6,061.59","6,061.59",11/12/2013
42011,"4,435.39","4,435.39",11/12/2013
42011,89.81,89.81,11/12/2013
42011,948.00,948.00,11/12/2013
42011,140.00,140.00,11/12/2013
42011,537.09,537.09,11/12/2013
42011,"6,827.44","6,827.44",11/12/2013
42011,"7,965.30","7,965.30",11/12/2013
42011,"1,390.13","1,390.13",11/12/2013
42011,89.81,89.81,11/12/2013
42011,179.61,179.61,11/12/2013
42011,763.21,763.21,11/12/2013
48970,"448,126.50","448,126.50",11/12/2013
48970,"164,047.58","164,047.58",11/12/2013
50207,"3,343.22","3,343.22",11/15/2013
50207,"3,418.27","3,418.27",11/15/2013
50036,"9,963.52","9,963.52",11/15/2013
49935,"4,226.44","4,226.44",11/15/2013
49888,"1,996.57","1,996.57",11/15/2013
49888,"2,028.86","2,028.86",11/15/2013
49888,"1,819.78","1,819.78",11/15/2013
495007,"3,268.62","3,268.62",11/12/2013
49408,"9,418.50","9,418.50",11/13/2013
50125,"10,000.00","10,000.00",11/15/2013
42275,45.00,45.00,11/13/2013
494928,"1,950.00","1,950.00",11/13/2013
494928,"1,950.00","1,950.00",11/13/2013
50164,"42,336.65","42,336.65",11/13/2013
50164,"38,973.60","38,973.60",11/13/2013
49638,"3,435.82","3,435.82",11/13/2013
50115,"1,551.91","1,551.91",11/13/2013
50115,"2,738.22","2,738.22",11/13/2013
49876,"1,700.00","1,700.00",11/13/2013
49877,700.00,700.00,11/13/2013
49877,"2,100.00","2,100.00",11/13/2013
49877,"2,400.00","2,400.00",11/13/2013
37975,"5,208.34","5,208.34",11/13/2013
49490,"12,172.50","12,172.50",11/14/2013
49168,"20,416.63","20,416.63",11/15/2013
42011,"12,313.08","12,313.08",11/15/2013
42011,191.58,191.58,11/15/2013
42011,948.00,948.00,11/15/2013
42011,140.00,140.00,11/15/2013
49934,"84,217.50","84,217.50",11/15/2013
49621,"11,620.75","11,620.75",11/15/2013
50328,"37,500.00","37,500.00",11/15/2013
50139,"5,580.00","5,580.00",11/15/2013
50400,"12,360.46","12,360.46",11/15/2013
50400,"12,360.46","12,360.46",11/15/2013
50207,"3,727.44","3,727.44",11/19/2013
50207,"4,175.27","4,175.27",11/19/2013
50207,"3,276.77","3,276.77",11/19/2013
50207,969.67,969.67,11/19/2013
50207,"3,469.01","3,469.01",11/19/2013
50341,"2,720.34","2,720.34",11/19/2013
50341,"1,849.12","1,849.12",11/19/2013
50346,"5,000.00","5,000.00",11/19/2013
50346,"10,000.00","10,000.00",11/19/2013
50301,101.84,101.84,11/19/2013
50301,587.66,587.66,11/19/2013
50301,"1,509.80","1,509.80",11/19/2013
49682,"57,410.41","57,410.41",11/15/2013
50199,"3,926.39","3,926.39",11/20/2013
50199,"3,026.18","3,026.18",11/20/2013
50199,"2,385.82","2,385.82",11/20/2013
50199,"2,348.09","2,348.09",11/20/2013
50199,"3,875.55","3,875.55",11/20/2013
50199,"4,516.55","4,516.55",11/20/2013
50207,"3,028.46","3,028.46",11/20/2013
50207,743.35,743.35,11/20/2013
50236,"7,554.06","7,554.06",11/20/2013
49885,"16,457.60","16,457.60",11/20/2013
50304,"262,227.53","262,227.53",11/20/2013
50052,"38,330.05","38,330.05",11/20/2013
50052,"55,945.59","55,945.59",11/20/2013
50296,"1,000.00","1,000.00",11/20/2013
50296,"18,912.95","18,912.95",11/20/2013
50059,"18,288.43","18,288.43",11/20/2013
50059,"17,806.85","17,806.85",11/20/2013
49976,"21,780.02","21,780.02",11/20/2013
50405,"10,000.00","10,000.00",11/19/2013
50149,"27,820.48","27,820.48",11/19/2013
50149,"15,063.07","15,063.07",11/19/2013
49483,"3,752.50","3,752.50",11/20/2013
50245,"8,878.42","8,878.42",11/27/2013
49638,169.01,169.01,11/20/2013
49638,"2,015.15","2,015.15",11/20/2013
48830,"25,285.34","25,285.34",11/20/2013
48830,"6,321.34","6,321.34",11/20/2013
50218,"6,158.25","6,158.25",11/20/2013
50218,"12,231.41","12,231.41",11/20/2013
49943,"2,200.00","2,200.00",11/20/2013
49248,"128,809.32","128,809.32",11/22/2013
50090,"574,244.99","574,244.99",11/21/2013
49448,"5,000.00","5,000.00",11/21/2013
49366,"1,250.00","1,250.00",11/21/2013
49366,300.00,300.00,11/21/2013
49366,"8,400.00","8,400.00",11/21/2013
49963,"1,114.47","1,114.47",11/21/2013
494813,"27,180.00","27,180.00",11/21/2013
49551,"17,195.59","17,195.59",11/21/2013
49490,"4,538.75","4,538.75",11/21/2013
49153,"40,363.23","40,363.23",11/22/2013
47794,"34,146.00","34,146.00",11/22/2013
48886,"142,118.51","142,118.51",11/22/2013
47867,"1,098.52","1,098.52",11/27/2013
49884,"33,031.24","33,031.24",11/27/2013
50286,"5,370.17","5,370.17",11/27/2013
50188,"1,800.00","1,800.00",11/27/2013
50044,"5,616.90","5,616.90",11/27/2013
49983,"3,305.82","3,305.82",11/27/2013
50282,"3,351.84","3,351.84",11/22/2013
50282,"4,481.65","4,481.65",11/22/2013
50282,"5,633.17","5,633.17",11/22/2013
50282,"7,574.75","7,574.75",11/22/2013
50376,"10,950.00","10,950.00",11/22/2013
50376,"8,150.00","8,150.00",11/22/2013
50376,"6,400.00","6,400.00",11/22/2013
50376,"7,100.00","7,100.00",11/22/2013
50392,"6,000.00","6,000.00",11/22/2013
50392,"11,200.00","11,200.00",11/22/2013
50392,"14,800.00","14,800.00",11/22/2013
50392,"15,500.00","15,500.00",11/22/2013
50031,"43,355.24","43,355.24",11/22/2013
49638,93.12,93.12,11/22/2013
47390,"4,667.48","4,667.48",11/22/2013
49809,"132,093.98","132,093.98",11/22/2013
49809,"126,412.66","126,412.66",11/22/2013
49250,957.90,957.90,11/26/2013
49490,"7,936.90","7,936.90",11/25/2013
50379,"10,655.66","10,655.66",11/25/2013
50379,"27,946.53","27,946.53",11/25/2013
50337,"96,816.44","96,816.44",11/25/2013
50115,"2,354.99","2,354.99",11/25/2013
48473,"107,468.76","107,468.76",11/25/2013
50141,"25,000.00","25,000.00",11/25/2013
50328,"12,500.00","12,500.00",11/25/2013
46223,112.50,112.50,11/26/2013
50247,"41,497.94","41,497.94",11/26/2013
47530,"53,848.81","53,848.81",11/27/2013
49153,"13,918.94","13,918.94",11/27/2013
495269,"1,033.16","1,033.16",11/27/2013
49804,"25,540.06","25,540.06",11/27/2013
49804,"6,385.02","6,385.02",11/27/2013
50338,"42,732.75","42,732.75",11/27/2013
48587,"16,000.00","16,000.00",12/2/2013
49694,668.00,668.00,12/2/2013
49694,566.00,566.00,12/2/2013
50394,"12,813.59","12,813.59",12/2/2013
50394,"15,556.13","15,556.13",12/2/2013
50394,"17,428.04","17,428.04",12/2/2013
50394,"17,432.04","17,432.04",12/2/2013
50389,"6,150.00","6,150.00",12/2/2013
50389,"4,000.00","4,000.00",12/2/2013
50389,"5,500.00","5,500.00",12/2/2013
50389,"5,950.00","5,950.00",12/2/2013
48785,"4,832.14","4,832.14",12/2/2013
48785,"1,451.63","1,451.63",12/2/2013
49781,"7,170.50","7,170.50",12/2/2013
49827,"275,584.62","275,584.62",12/2/2013
50032,"27,296.00","27,296.00",12/2/2013
50254,"314,051.81","314,051.81",12/2/2013
49375,"253,024.04","253,024.04",12/4/2013
50140,"11,142.84","11,142.84",12/4/2013
49228,"3,075.00","3,075.00",12/3/2013
48972,"4,349.87","4,349.87",12/3/2013
49756,"12,783.93","12,783.93",12/3/2013
44835,"1,470.18","1,470.18",12/3/2013
48531,583.94,583.94,12/3/2013
44835,"5,880.71","5,880.71",12/3/2013
495349,"4,488.00","4,488.00",12/3/2013
50312,"3,500.00","3,500.00",12/5/2013
50304,"30,000.00","30,000.00",12/5/2013
49884,"30,131.71","30,131.71",12/5/2013
50297,"11,926.18","11,926.18",12/5/2013
50045,329.56,329.56,12/5/2013
50037,"1,545.00","1,545.00",12/5/2013
50367,"4,000.00","4,000.00",12/5/2013
50367,"2,000.00","2,000.00",12/5/2013
50367,"2,000.00","2,000.00",12/5/2013
49700,"1,556.00","1,556.00",12/4/2013
49700,260.00,260.00,12/4/2013
49700,376.00,376.00,12/4/2013
48350,"3,739.00","3,739.00",12/4/2013
49649,"19,726.02","19,726.02",12/4/2013
495040,"35,381.02","35,381.02",12/4/2013
49483,"13,667.00","13,667.00",12/4/2013
50092,"8,166.67","8,166.67",12/4/2013
49010,"5,550.00","5,550.00",12/4/2013
50083,"4,214.00","4,214.00",12/5/2013
49728,"7,049.44","7,049.44",12/5/2013
50235,"7,748.97","7,748.97",12/5/2013
50235,"2,169.97","2,169.97",12/5/2013
495533,"82,486.90","82,486.90",12/5/2013
495533,"58,513.10","58,513.10",12/5/2013
48966,"26,040.21","26,040.21",12/5/2013
48966,"5,303.70","5,303.70",12/5/2013
48966,"100,770.28","100,770.28",12/5/2013
50324,"238,264.69","238,264.69",12/5/2013
495007,"9,873.36","9,873.36",12/5/2013
49876,900.00,900.00,12/5/2013
50164,"15,228.02","15,228.02",12/5/2013
43457,"17,464.88","17,464.88",12/5/2013
50281,"10,000.00","10,000.00",12/6/2013
495040,"5,849.21","5,849.21",12/6/2013
495040,"32,694.84","32,694.84",12/6/2013
49408,"25,688.70","25,688.70",12/6/2013
50400,"12,360.46","12,360.46",12/6/2013
50387,"1,150.00","1,150.00",12/9/2013
50387,"1,150.00","1,150.00",12/9/2013
49997,"3,189.72","3,189.72",12/9/2013
50390,"4,833.34","4,833.34",12/9/2013
50390,"1,500.00","1,500.00",12/9/2013
50390,"3,333.34","3,333.34",12/9/2013
50129,"6,206.34","6,206.34",12/9/2013
50129,"3,140.80","3,140.80",12/9/2013
50129,"2,524.17","2,524.17",12/9/2013
50129,"2,704.50","2,704.50",12/9/2013
50347,878.14,878.14,12/9/2013
49246,"19,666.16","19,666.16",12/10/2013
50401,"1,915.18","1,915.18",12/10/2013
50401,"1,965.33","1,965.33",12/10/2013
50401,"2,005.99","2,005.99",12/10/2013
50401,"2,389.82","2,389.82",12/10/2013
50401,"2,053.00","2,053.00",12/10/2013
50401,"2,410.64","2,410.64",12/10/2013
50401,"2,515.35","2,515.35",12/10/2013
50401,"1,958.11","1,958.11",12/10/2013
49545,"46,440.56","46,440.56",12/9/2013
49408,"219,882.40","219,882.40",12/9/2013
49408,"30,289.85","30,289.85",12/9/2013
50406,"10,376.78","10,376.78",12/9/2013
50406,"10,376.78","10,376.78",12/9/2013
50406,"10,376.78","10,376.78",12/9/2013
50406,"10,376.78","10,376.78",12/9/2013
49884,"1,677.00","1,677.00",12/10/2013
50354,"2,000.00","2,000.00",12/10/2013
50354,"2,000.00","2,000.00",12/10/2013
50354,"1,000.00","1,000.00",12/10/2013
50211,"3,000.00","3,000.00",12/10/2013
50371,"2,776.79","2,776.79",12/10/2013
50371,446.42,446.42,12/10/2013
50371,776.79,776.79,12/10/2013
50371,"2,000.00","2,000.00",12/10/2013
50296,"1,087.05","1,087.05",12/10/2013
42011,"5,552.35","5,552.35",12/9/2013
42011,"1,253.19","1,253.19",12/9/2013
42011,155.99,155.99,12/9/2013
49463,50.27,50.27,12/9/2013
49463,"7,249.73","7,249.73",12/9/2013
50432,"7,475.00","7,475.00",12/9/2013
50409,"2,000.00","2,000.00",12/9/2013
50409,500.00,500.00,12/9/2013
49010,600.00,600.00,12/9/2013
495525,550.12,550.12,12/9/2013
495525,"2,313.16","2,313.16",12/9/2013
49483,638.70,638.70,12/9/2013
49490,"4,839.00","4,839.00",12/9/2013
49632,"2,664.53","2,664.53",12/10/2013
50027,860.84,860.84,12/10/2013
49336,"4,074.33","4,074.33",12/10/2013
50254,"4,950.00","4,950.00",12/11/2013
49929,"197,456.24","197,456.24",12/11/2013
495525,"1,193.31","1,193.31",12/11/2013
50167,"61,144.36","61,144.36",12/11/2013
50115,"13,019.55","13,019.55",12/11/2013
49153,"28,260.50","28,260.50",12/11/2013
49408,"21,739.50","21,739.50",12/11/2013
49408,"3,790.50","3,790.50",12/11/2013
49168,"20,416.67","20,416.67",12/11/2013
42011,179.61,179.61,12/11/2013
48713,"1,013.68","1,013.68",12/11/2013
42011,89.81,89.81,12/11/2013
42011,"1,040.62","1,040.62",12/11/2013
42011,472.02,472.02,12/11/2013
50251,468.00,468.00,12/11/2013
50251,472.00,472.00,12/11/2013
50251,476.00,476.00,12/11/2013
50251,476.00,476.00,12/11/2013
50251,476.00,476.00,12/11/2013
494813,"7,245.00","7,245.00",12/11/2013
49756,"12,783.93","12,783.93",12/11/2013
48886,"20,153.52","20,153.52",12/12/2013
48713,36.43,36.43,12/11/2013
48713,"4,187.25","4,187.25",12/11/2013
48713,675.79,675.79,12/11/2013
48713,"1,013.68","1,013.68",12/11/2013
48713,"2,703.16","2,703.16",12/11/2013
48713,"1,013.68","1,013.68",12/11/2013
48713,"4,054.73","4,054.73",12/11/2013
48713,"1,689.47","1,689.47",12/11/2013
48606,"1,994.37","1,994.37",12/11/2013
48713,506.84,506.84,12/11/2013
48606,"19,327.88","19,327.88",12/11/2013
48606,"8,688.88","8,688.88",12/11/2013
49448,"5,000.00","5,000.00",12/11/2013
50195,"1,199,701.00","1,199,701.00",12/11/2013
48359,"2,500.00","2,500.00",12/11/2013
49737,"3,305.03","3,305.03",12/12/2013
49737,"4,158.76","4,158.76",12/12/2013
495525,"1,125.37","1,125.37",12/12/2013
48201,"5,481.32","5,481.32",12/12/2013
48201,288.49,288.49,12/12/2013
48201,"9,417.52","9,417.52",12/12/2013
48201,495.66,495.66,12/12/2013
50152,"200,000.00","200,000.00",12/12/2013
50152,"75,000.00","75,000.00",12/12/2013
50189,"100,000.00","100,000.00",12/12/2013
50189,"4,222.73","4,222.73",12/12/2013
50217,"7,500.00","7,500.00",12/12/2013
50117,"9,628.50","9,628.50",12/12/2013
49737,"15,333.37","15,333.37",12/12/2013
49737,"16,963.30","16,963.30",12/12/2013
49737,"30,312.69","30,312.69",12/12/2013
49336,"3,317.13","3,317.13",12/12/2013
495040,"23,267.06","23,267.06",12/12/2013
49545,"104,886.72","104,886.72",12/12/2013
49545,722.01,722.01,12/12/2013
49336,"16,386.02","16,386.02",12/12/2013
50418,"4,500.00","4,500.00",12/12/2013
50418,"7,500.00","7,500.00",12/12/2013
50418,"9,050.00","9,050.00",12/12/2013
50418,"9,000.00","9,000.00",12/12/2013
50418,"3,000.00","3,000.00",12/12/2013
50282,"6,975.06","6,975.06",12/12/2013
50376,"10,900.00","10,900.00",12/12/2013
49804,"25,497.08","25,497.08",12/13/2013
49804,"6,374.27","6,374.27",12/13/2013
48607,"13,603.37","13,603.37",12/13/2013
48607,"2,258.24","2,258.24",12/13/2013
495040,"2,986.20","2,986.20",12/13/2013
49483,"2,722.00","2,722.00",12/13/2013
49153,"37,057.78","37,057.78",12/13/2013
49545,"23,847.14","23,847.14",12/13/2013
48834,"5,558.27","5,558.27",12/13/2013
48607,"3,133.77","3,133.77",12/13/2013
48607,"1,188.43","1,188.43",12/13/2013
49551,"12,941.65","12,941.65",12/13/2013
49700,"1,596.00","1,596.00",12/13/2013
47868,"5,825.46","5,825.46",12/13/2013
49170,326.00,326.00,12/13/2013
49336,"12,058.17","12,058.17",12/13/2013
49545,"96,243.40","96,243.40",12/13/2013
49251,75.00,75.00,12/13/2013
49251,"1,025.00","1,025.00",12/13/2013
495269,"2,170.02","2,170.02",12/16/2013
42011,"13,124.73","13,124.73",12/13/2013
42011,195.42,195.42,12/13/2013
49694,234.00,234.00,12/13/2013
48834,27.15,27.15,12/13/2013
48834,658.03,658.03,12/13/2013
49483,"11,555.00","11,555.00",12/13/2013
49709,"36,637.00","36,637.00",12/13/2013
47749,"4,250.00","4,250.00",12/13/2013
47749,"5,225.00","5,225.00",12/13/2013
48600,"159,932.38","159,932.38",12/13/2013
50090,"566,261.35","566,261.35",12/13/2013
50247,"34,456.96","34,456.96",12/13/2013
49935,451.09,451.09,12/18/2013
50342,"2,000.00","2,000.00",12/13/2013
50314,"10,000.00","10,000.00",12/18/2013
50401,"1,066.91","1,066.91",12/18/2013
50401,"1,746.09","1,746.09",12/18/2013
50207,"2,090.56","2,090.56",12/18/2013
46939,"1,591.62","1,591.62",12/13/2013
46939,397.90,397.90,12/13/2013
50429,"300,259.12","300,259.12",12/18/2013
50027,"7,121.41","7,121.41",12/16/2013
48831,665.00,665.00,12/16/2013
49170,"3,533.39","3,533.39",12/16/2013
49336,"56,697.22","56,697.22",12/16/2013
47749,"2,685.00","2,685.00",12/16/2013
47749,"1,175.00","1,175.00",12/16/2013
49434,"27,848.00","27,848.00",12/16/2013
50366,392.30,392.30,12/18/2013
48970,"448,126.50","448,126.50",12/16/2013
48970,"110,024.01","110,024.01",12/16/2013
42275,"115,441.67","115,441.67",12/16/2013
50409,500.00,500.00,12/16/2013
50392,"19,200.00","19,200.00",12/16/2013
50389,"4,900.00","4,900.00",12/16/2013
50017,"9,120.00","9,120.00",12/16/2013
50017,"9,728.00","9,728.00",12/16/2013
50186,"38,554.21","38,554.21",12/16/2013
50118,"55,438.00","55,438.00",12/16/2013
50118,"53,506.83","53,506.83",12/16/2013
50335,"12,092.50","12,092.50",12/16/2013
48564,"1,400.00","1,400.00",12/16/2013
50199,"2,776.99","2,776.99",12/17/2013
50416,"10,778.30","10,778.30",12/17/2013
50213,"4,368.24","4,368.24",12/17/2013
48970,"89,634.93","89,634.93",12/17/2013
50213,"3,034.09","3,034.09",12/17/2013
48970,"448,126.50","448,126.50",12/17/2013
50442,"19,167.08","19,167.08",12/17/2013
50442,"10,486.98","10,486.98",12/17/2013
50442,"11,257.02","11,257.02",12/17/2013
50442,"6,992.68","6,992.68",12/17/2013
50442,"8,559.44","8,559.44",12/17/2013
50442,"5,122.94","5,122.94",12/17/2013
50442,"23,133.58","23,133.58",12/17/2013
50281,"10,000.00","10,000.00",12/17/2013
50408,"15,237.82","15,237.82",12/17/2013
49949,"1,250.00","1,250.00",12/17/2013
50447,"19,341.68","19,341.68",12/17/2013
50443,"6,000.00","6,000.00",12/17/2013
50443,"5,887.50","5,887.50",12/17/2013
50261,"15,000.00","15,000.00",12/17/2013
50301,780.15,780.15,12/17/2013
42275,"115,441.67","115,441.67",12/17/2013
50356,"2,000.00","2,000.00",12/17/2013
50367,"4,000.00","4,000.00",12/17/2013
50351,"10,000.00","10,000.00",12/17/2013
48607,"9,397.14","9,397.14",12/17/2013
49687,"15,481.71","15,481.71",12/17/2013
49701,"25,000.00","25,000.00",12/17/2013
50199,"2,970.03","2,970.03",12/18/2013
48616,"30,814.16","30,814.16",12/17/2013
48616,"121,893.57","121,893.57",12/17/2013
49686,"30,817.43","30,817.43",12/17/2013
50082,"28,832.50","28,832.50",12/18/2013
50082,"28,982.89","28,982.89",12/18/2013
50417,"136,258.85","136,258.85",12/18/2013
50417,"24,542.41","24,542.41",12/18/2013
49545,"55,178.30","55,178.30",12/18/2013
50417,"18,469.25","18,469.25",12/18/2013
50417,"17,273.99","17,273.99",12/18/2013
50401,"2,689.58","2,689.58",12/18/2013
49408,"9,802.67","9,802.67",12/18/2013
50191,"1,680.18","1,680.18",12/18/2013
48831,"2,571.85","2,571.85",12/19/2013
49709,"21,364.00","21,364.00",12/19/2013
49248,"135,737.21","135,737.21",12/19/2013
48284,381.00,381.00,12/19/2013
495040,"34,155.42","34,155.42",12/19/2013
495040,"2,705.95","2,705.95",12/19/2013
495040,"34,622.09","34,622.09",12/19/2013
46464,"9,740.97","9,740.97",12/19/2013
48984,"4,656.64","4,656.64",12/20/2013
495040,"38,415.03","38,415.03",12/20/2013
48984,"7,267.56","7,267.56",12/20/2013
48984,"4,963.07","4,963.07",12/20/2013
48492,"3,474.00","3,474.00",12/20/2013
50414,467.20,467.20,12/20/2013
50433,"1,971.15","1,971.15",12/20/2013
50412,"2,000.00","2,000.00",12/20/2013
50411,"1,907.73","1,907.73",12/20/2013
49408,"22,002.55","22,002.55",12/20/2013
49408,"1,608.10","1,608.10",12/20/2013
49408,"35,707.50","35,707.50",12/20/2013
50473,"1,962.48","1,962.48",12/23/2013
50027,808.22,808.22,12/23/2013
47787,"2,926.75","2,926.75",12/26/2013
46464,"2,404.50","2,404.50",12/27/2013
42011,"33,935.52","33,935.52",1/9/2014
49785,380.00,380.00,1/10/2014
50092,"8,166.67","8,166.67",1/10/2014
49638,"6,654.86","6,654.86",1/10/2014
49551,"15,172.51","15,172.51",1/10/2014
48984,"1,159.54","1,159.54",1/10/2014
46464,"8,065.05","8,065.05",1/10/2014
49251,"1,100.00","1,100.00",1/13/2014
49228,"3,075.00","3,075.00",1/13/2014
48972,"4,349.87","4,349.87",1/13/2014
49756,"66,403.01","66,403.01",1/13/2014
48683,327.58,327.58,1/13/2014
48683,"1,133.22","1,133.22",1/13/2014
47390,392.39,392.39,1/13/2014
48329,"1,749.89","1,749.89",1/13/2014
48329,437.47,437.47,1/13/2014
44835,"3,139.02","3,139.02",1/13/2014
44835,784.76,784.76,1/13/2014
49170,"14,435.64","14,435.64",1/13/2014
50140,"5,859.71","5,859.71",1/15/2014
48880,"47,230.30","47,230.30",1/14/2014
50254,"35,444.65","35,444.65",1/14/2014
43924,"20,159.17","20,159.17",1/14/2014
43924,"38,855.74","38,855.74",1/14/2014
43924,"8,753.74","8,753.74",1/14/2014
43924,"22,704.00","22,704.00",1/14/2014
495533,"1,301.20","1,301.20",1/14/2014
46939,"1,935.85","1,935.85",1/14/2014
50419,"15,280.82","15,280.82",1/29/2014
50041,"2,830.66","2,830.66",1/16/2014
50236,"7,261.42","7,261.42",1/16/2014
49866,378.00,378.00,1/16/2014
50286,"4,954.25","4,954.25",1/16/2014
49953,"7,832.86","7,832.86",1/16/2014
50443,"4,200.00","4,200.00",1/16/2014
50390,"4,833.34","4,833.34",1/16/2014
50260,"4,576.93","4,576.93",1/29/2014
50369,"8,076.93","8,076.93",1/29/2014
50471,"5,000.00","5,000.00",1/29/2014
50419,"10,451.62","10,451.62",1/29/2014
50419,"16,621.10","16,621.10",1/29/2014
50251,238.00,238.00,1/14/2014
