Contract Number,Amount Vouchered,Amount Paid,Check/Item Date
49228,"9,225.00","9,225.00",3/6/2012
49251,"3,000.00","3,000.00",3/6/2012
42011,"10,824.78","10,824.78",3/6/2012
47704,372.00,372.00,3/6/2012
48785,485.23,485.23,3/6/2012
48683,"2,568.47","2,568.47",3/6/2012
49153,"20,899.90","20,899.90",3/6/2012
49396,"50,000.00","50,000.00",3/6/2012
48329,"7,103.45","7,103.45",3/6/2012
48329,"1,775.86","1,775.86",3/6/2012
46223,822.50,822.50,3/6/2012
47662,"340,178.98","340,178.98",3/7/2012
47662,"3,416.02","3,416.02",3/7/2012
47662,"49,800.00","49,800.00",3/7/2012
47794,"51,000.00","51,000.00",3/7/2012
49053,"41,250.00","41,250.00",3/7/2012
49135,"10,192.92","10,192.92",3/7/2012
42822,"11,310.63","11,310.63",3/7/2012
48830,"23,471.98","23,471.98",3/7/2012
48739,"2,015.71","2,015.71",3/7/2012
47691,"1,467.40","1,467.40",3/7/2012
49449,"4,022.62","4,022.62",3/7/2012
49467,750.00,750.00,3/8/2012
49467,"1,000.00","1,000.00",3/8/2012
49467,856.00,856.00,3/8/2012
48791,33.76,33.76,3/8/2012
48791,44.99,44.99,3/8/2012
49471,"9,622.84","9,622.84",3/8/2012
49468,"1,000.00","1,000.00",3/8/2012
42011,"34,355.10","34,355.10",3/8/2012
49546,"508,336.67","508,336.67",3/13/2012
43457,"14,682.74","14,682.74",3/13/2012
48783,"100,000.00","100,000.00",3/13/2012
49449,"9,163.58","9,163.58",3/14/2012
49395,"2,000.00","2,000.00",3/14/2012
49448,"8,185.83","8,185.83",3/14/2012
42275,"115,441.67","115,441.67",3/14/2012
49168,"20,416.67","20,416.67",3/14/2012
37975,"5,000.00","5,000.00",3/14/2012
37975,"5,000.00","5,000.00",3/14/2012
48880,"372,191.64","372,191.64",3/14/2012
47794,"178,329.00","178,329.00",3/15/2012
42275,"134,237.01","134,237.01",3/15/2012
48329,"15,463.66","15,463.66",3/15/2012
48329,"61,854.54","61,854.54",3/15/2012
48329,"2,307.99","2,307.99",3/15/2012
48329,"9,232.04","9,232.04",3/15/2012
49471,"2,422.13","2,422.13",3/15/2012
47474,900.00,900.00,3/19/2012
42275,"1,357.58","1,357.58",3/20/2012
49194,"1,674.00","1,674.00",3/19/2012
49162,"3,750.00","3,750.00",3/20/2012
48500,161.79,161.79,3/20/2012
48500,"3,288.98","3,288.98",4/3/2012
48500,"4,879.52","4,879.52",3/20/2012
48889,"49,308.51","49,308.51",3/20/2012
48270,"5,175.35","5,175.35",3/20/2012
49448,"5,000.00","5,000.00",3/20/2012
49153,"7,602.34","7,602.34",3/20/2012
48966,"21,055.62","21,055.62",3/21/2012
48966,"400,056.78","400,056.78",3/21/2012
49448,82.79,82.79,3/21/2012
49448,"1,884.20","1,884.20",3/21/2012
49134,"131,926.81","131,926.81",3/21/2012
47944,"1,757.82","1,757.82",3/23/2012
47955,"16,765.51","16,765.51",3/23/2012
47941,"80,026.97","80,026.97",3/23/2012
494813,"6,685.00","6,685.00",3/22/2012
42011,"8,324.99","8,324.99",3/22/2012
47944,"8,066.78","8,066.78",3/22/2012
49498,"2,000.00","2,000.00",3/22/2012
49498,"59,132.07","59,132.07",3/22/2012
48970,"435,469.75","435,469.75",3/23/2012
48454,153.88,153.88,3/23/2012
49241,"3,837.50","3,837.50",3/23/2012
49449,"4,749.65","4,749.65",3/23/2012
48984,"18,465.86","18,465.86",3/23/2012
48880,"31,110.00","31,110.00",3/23/2012
48586,576.95,576.95,3/23/2012
48524,"42,829.90","42,829.90",3/26/2012
49053,"10,312.50","10,312.50",3/26/2012
47793,"4,726.43","4,726.43",3/26/2012
44835,"17,373.17","17,373.17",3/27/2012
49250,"6,711.50","6,711.50",3/27/2012
47435,"2,755.62","2,755.62",3/30/2012
46223,507.40,507.40,3/30/2012
48192,960.00,960.00,3/30/2012
49248,"144,059.00","144,059.00",3/30/2012
49248,"42,832.39","42,832.39",3/30/2012
49472,"50,500.00","50,500.00",3/30/2012
494821,39.58,39.58,4/3/2012
494821,16.62,16.62,4/3/2012
42011,"8,876.52","8,876.52",4/3/2012
48880,"121,669.80","121,669.80",4/3/2012
42275,"115,441.67","115,441.67",4/3/2012
48970,"135,347.88","135,347.88",4/3/2012
494899,28.00,28.00,4/3/2012
48768,92.30,92.30,4/3/2012
494864,"10,000.00","10,000.00",4/3/2012
49150,"6,000.00","6,000.00",4/3/2012
49548,"4,000.00","4,000.00",4/3/2012
49252,"757,194.85","757,194.85",4/3/2012
49252,"134,805.00","134,805.00",4/3/2012
49187,"1,473.50","1,473.50",4/4/2012
49187,"16,054.92","16,054.92",4/4/2012
48371,"4,894.85","4,894.85",4/4/2012
49223,"2,476.31","2,476.31",4/4/2012
49251,"1,000.00","1,000.00",4/9/2012
48972,"4,349.87","4,349.87",4/9/2012
49228,"3,075.00","3,075.00",4/9/2012
48739,"2,015.71","2,015.71",4/9/2012
48739,"2,015.71","2,015.71",4/9/2012
49549,"2,500.00","2,500.00",4/5/2012
49578,"22,733.30","22,733.30",4/9/2012
49535,"2,838.08","2,838.08",4/9/2012
49514,"23,450.00","23,450.00",4/9/2012
49536,"4,333.33","4,333.33",4/9/2012
49523,"13,103.00","13,103.00",4/9/2012
48128,"5,656.00","5,656.00",4/9/2012
42822,"7,593.63","7,593.63",4/9/2012
47613,"30,000.00","30,000.00",4/9/2012
48783,"277,777.78","277,777.78",4/9/2012
48783,"300,000.00","300,000.00",4/9/2012
42011,"9,663.52","9,663.52",4/11/2012
48540,"15,361.50","15,361.50",4/11/2012
47703,"2,136.40","2,136.40",4/11/2012
37975,"5,000.00","5,000.00",4/11/2012
494881,"5,880.00","5,880.00",4/13/2012
46464,"9,195.35","9,195.35",4/13/2012
48830,"24,747.38","24,747.38",4/13/2012
46464,"5,230.38","5,230.38",4/13/2012
